"Site ID","Sector ID","Antenna ID","Port Name","Downlink","Uplink"
"Site_103","3","3","Port 2","True","True"
"Site_1030","1","1","Port 1","False","False"
"Site_1030","1","1","Port 2","True","True"
"Site_1030","2","2","Port 1","False","False"
"Site_1030","2","2","Port 2","True","True"
"Site_1030","3","3","Port 1","False","False"
"Site_1030","3","3","Port 2","True","True"
"Site_1031","1","1","Port 1","False","False"
"Site_1031","1","1","Port 2","True","True"
"Site_1031","2","2","Port 1","False","False"
"Site_1031","2","2","Port 2","True","True"
"Site_1031","3","3","Port 1","False","False"
"Site_1031","3","3","Port 2","True","True"
"Site_1032","1","1","Port 1","False","False"
"Site_1032","1","1","Port 2","True","True"
"Site_1032","2","2","Port 1","False","False"
"Site_1032","2","2","Port 2","True","True"
"Site_1032","3","3","Port 1","False","False"
"Site_1032","3","3","Port 2","True","True"
"Site_1033","1","1","Port 1","False","False"
"Site_1033","1","1","Port 2","True","True"
"Site_1033","2","2","Port 1","False","False"
"Site_1033","2","2","Port 2","True","True"
"Site_1033","3","3","Port 1","False","False"
"Site_1033","3","3","Port 2","True","True"
"Site_1034","1","1","Port 1","False","False"
"Site_1034","1","1","Port 2","True","True"
"Site_1034","2","2","Port 1","False","False"
"Site_1034","2","2","Port 2","True","True"
"Site_1034","3","3","Port 1","False","False"
"Site_1034","3","3","Port 2","True","True"
"Site_1035","1","1","Port 1","False","False"
"Site_1035","1","1","Port 2","True","True"
"Site_1035","2","2","Port 1","False","False"
"Site_1035","2","2","Port 2","True","True"
"Site_1035","3","3","Port 1","False","False"
"Site_1035","3","3","Port 2","True","True"
"Site_1036","1","1","Port 1","False","False"
"Site_1036","1","1","Port 2","True","True"
"Site_1036","2","2","Port 1","False","False"
"Site_1036","2","2","Port 2","True","True"
"Site_1036","3","3","Port 1","False","False"
"Site_1036","3","3","Port 2","True","True"
"Site_1037","1","1","Port 1","False","False"
"Site_1037","1","1","Port 2","True","True"
"Site_1037","2","2","Port 1","False","False"
"Site_1037","2","2","Port 2","True","True"
"Site_1037","3","3","Port 1","False","False"
"Site_1037","3","3","Port 2","True","True"
"Site_1038","1","1","Port 1","False","False"
"Site_1038","1","1","Port 2","True","True"
"Site_1038","2","2","Port 1","False","False"
"Site_1038","2","2","Port 2","True","True"
"Site_1038","3","3","Port 1","False","False"
"Site_1038","3","3","Port 2","True","True"
"Site_1039","1","1","Port 1","False","False"
"Site_1039","1","1","Port 2","True","True"
"Site_1039","2","2","Port 1","False","False"
"Site_1039","2","2","Port 2","True","True"
"Site_1039","3","3","Port 1","False","False"
