"Site ID","Sector ID","Carrier Name","Cell ID","E-UTRAN Cell ID","Downlink Load (%)","Uplink Load (%)","Maximum Downlink Load (%)","Maximum Uplink Load (%)","Uplink Noise Rise (dB)","FFR Usage (%)","Almost Blank Subframes (%)"
"Site_1047","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1047","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1048","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1048","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1048","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1049","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1049","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1049","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_105","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_105","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_105","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1050","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1050","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1050","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1051","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1051","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1051","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1052","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1052","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1052","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1053","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1053","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1053","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1054","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1054","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1054","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1055","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1055","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1055","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1056","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1056","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1056","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1057","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1057","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1057","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1058","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1058","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1058","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1059","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1059","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1059","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_106","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_106","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_106","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1060","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1060","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1060","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1061","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1061","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1061","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1062","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1062","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1062","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1063","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1063","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1063","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1064","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1064","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1064","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1065","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1065","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1065","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1066","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1066","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1066","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1067","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1067","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1067","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1068","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1068","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1068","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1069","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1069","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1069","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_107","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_107","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_107","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1070","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1070","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1070","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1071","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1071","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1071","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1072","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1072","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1072","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1073","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1073","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1073","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
