"Site ID","BTS Name","MCC","MNC","Maximum Pooled Throughput (Mbps)","eNodeB ID","Base Station Type"
"Site_1116","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1117","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1118","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1119","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_112","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1120","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1121","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1122","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1123","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1124","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1125","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1126","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1127","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1128","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1129","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_113","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1130","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1131","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1132","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1133","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1134","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1135","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1136","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1137","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1138","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1139","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_114","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1140","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1141","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1142","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1143","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1144","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1145","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1146","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1147","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1148","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1149","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_115","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1150","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1151","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1152","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1153","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1154","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1155","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1156","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1157","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1158","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1159","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_116","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1160","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1161","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1162","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1163","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1164","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1165","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1166","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1167","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1168","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1169","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_117","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1170","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1171","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1172","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1173","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1174","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1175","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1176","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1177","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1178","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1179","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_118","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1180","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1181","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1182","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1183","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1184","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1185","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1186","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1187","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1188","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1189","LTE FDD","0","0","100","","LTE FDD_BTS_1"
